Survived,Pclass,Sex,SibSp,Parch,Embarked,Fare,Age
0,3,male,0,0,Q,7.7375,
1,1,female,0,1,S,211.3375,43
1,3,female,0,0,C,7.2292,13
1,1,female,1,0,S,57,17
0,1,male,0,0,S,30,29
0,3,male,1,2,S,23.45,
0,3,male,0,0,S,7.05,25
0,3,male,0,0,S,7.25,25
1,3,female,0,0,S,7.4958,18
0,3,male,4,1,Q,29.125,8
1,3,male,1,2,S,20.575,1
0,1,male,0,0,C,79.2,46
0,3,male,0,0,Q,7.75,
0,2,male,0,0,S,26,16
0,3,female,8,2,S,69.55,
0,1,male,0,0,C,30.6958,
0,3,male,0,0,S,7.8958,25
0,2,male,0,0,S,13,39
1,1,female,0,0,S,25.9292,49
1,3,female,0,0,S,8.6833,31
0,3,male,0,0,C,7.2292,30
0,3,female,1,1,S,24.15,30
0,2,male,0,0,S,13,34
1,2,female,1,1,S,26.25,31
1,1,male,1,2,S,120,11
1,3,male,0,1,C,8.5167,0.42
1,3,male,0,0,S,6.975,27
0,3,male,0,0,S,7.775,31
0,1,male,0,0,S,0,39
0,3,female,0,0,S,7.775,18
0,2,male,0,0,S,13,39
1,1,female,1,0,S,53.1,33
0,3,male,0,0,S,7.8875,26
0,3,male,0,0,S,24.15,39
0,2,male,0,0,S,10.5,35
0,3,female,4,2,S,31.275,6
0,3,male,0,0,S,8.05,30.5
0,1,male,0,0,S,0,
0,3,female,0,0,S,7.925,23
0,2,male,1,1,C,37.0042,31
0,3,male,0,0,S,6.45,43
0,3,male,3,2,S,27.9,10
1,1,female,1,1,S,93.5,52
1,3,male,0,0,S,8.6625,27
0,1,male,0,0,S,0,38
1,3,female,0,1,S,12.475,27
0,3,male,4,1,S,39.6875,2
0,3,male,0,0,Q,6.95,
0,3,male,0,0,S,56.4958,
1,2,male,0,2,C,37.0042,1
1,3,male,0,0,Q,7.75,
1,1,female,0,0,,80,62
1,3,female,1,0,C,14.4542,15
1,2,male,1,1,S,18.75,0.83
0,3,male,0,0,C,7.2292,
0,3,male,0,0,S,7.8542,23
0,3,male,0,0,S,8.3,18
1,1,female,1,1,C,83.1583,39
0,3,male,0,0,S,8.6625,21
0,3,male,0,0,S,8.05,
1,3,male,0,0,S,56.4958,32
1,1,male,0,0,C,29.7,
0,3,male,0,0,S,7.925,20
0,2,male,0,0,S,10.5,16
1,1,female,0,0,C,31,30
0,3,male,0,0,C,6.4375,34.5
0,3,male,0,0,S,8.6625,17
0,3,male,0,0,S,7.55,42
0,3,male,8,2,S,69.55,
0,3,male,0,0,C,7.8958,35
0,2,male,0,1,S,33,28
1,1,female,1,0,C,89.1042,
0,3,male,4,2,S,31.275,4
0,3,male,0,0,S,7.775,74
0,3,female,1,1,C,15.2458,9
1,1,female,0,1,S,39.4,16
0,2,female,1,0,S,26,44
1,3,female,0,1,S,9.35,18
1,1,female,1,1,S,164.8667,45
1,1,male,0,0,S,26.55,51
1,3,female,0,3,C,19.2583,24
0,3,male,0,0,C,7.2292,
0,3,male,2,0,S,14.1083,41
0,2,male,1,0,S,11.5,21
1,1,female,0,0,S,25.9292,48
0,3,female,8,2,S,69.55,
0,2,male,0,0,S,13,24
1,2,female,0,0,S,13,42
1,2,female,1,0,C,13.8583,27
0,1,male,0,0,S,50.4958,31
0,3,male,0,0,S,9.5,
1,3,male,1,1,S,11.1333,4
0,3,male,0,0,S,7.8958,26
1,1,female,1,1,S,52.5542,47
0,1,male,0,0,S,5,33
0,3,male,0,0,S,9,47
1,2,female,1,0,C,24,28
1,3,female,0,0,C,7.225,15
0,3,male,0,0,S,9.8458,20
0,3,male,0,0,S,7.8958,19
0,3,male,0,0,S,7.8958,
1,1,female,0,1,C,83.1583,56
1,2,female,0,1,S,26,25
0,3,male,0,0,S,7.8958,33
0,3,female,0,0,S,10.5167,22
0,2,male,0,0,S,10.5,28
0,3,male,0,0,S,7.05,25
0,3,female,0,5,Q,29.125,39
0,2,male,0,0,S,13,27
1,1,female,0,0,S,30,19
0,3,female,1,2,S,23.45,
1,1,male,0,0,C,30,26
0,3,male,0,0,Q,7.75,32
